FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,MIN_FREQ,MAX_FREQ,LEFT_CHANNEL,RIGHT_CHANNEL
P2021-03-03-15-48-CSLIB.wav,44100,16,299.94,1,bioacoustic_index,512,2000,8000,18.5062071081294,NA 
P2021-03-05-14-24-CSLIB.wav,44100,16,299.94,1,bioacoustic_index,512,2000,8000,9.25558190551705,NA 
P2021-03-05-18-48-CSLIB.wav,44100,16,299.95,1,bioacoustic_index,512,2000,8000,8.18860352483649,NA 
P2021-03-06-09-06-CSLIB.wav,44100,16,299.95,1,bioacoustic_index,512,2000,8000,12.0103119171725,NA 
P2021-03-07-16-48-CSLIB.wav,44100,16,299.95,1,bioacoustic_index,512,2000,8000,12.7893371015971,NA 
P2021-03-16-14-24-CSLIB.wav,44100,16,299.95,1,bioacoustic_index,512,2000,8000,11.2528504641341,NA 
P2021-03-20-13-30-CSLIB.wav,44100,16,299.94,1,bioacoustic_index,512,2000,8000,11.5420315499427,NA 
P2021-03-20-18-48-CSLIB.wav,44100,16,299.95,1,bioacoustic_index,512,2000,8000,9.05972396703333,NA 
P2021-03-22-14-24-CSLIB.wav,44100,16,299.95,1,bioacoustic_index,512,2000,8000,5.9363575918133,NA 
P2021-03-23-06-00-CSLIB.wav,44100,16,299.95,1,bioacoustic_index,512,2000,8000,13.5013674606931,NA 
P2021-03-28-17-30-CSLIB.wav,44100,16,299.95,1,bioacoustic_index,512,2000,8000,16.2879274982743,NA 
P2021-04-01-12-24-CSLIB.wav,44100,16,299.94,1,bioacoustic_index,512,2000,8000,4.72921805696027,NA 
P2021-04-01-18-18-CSLIB.wav,44100,16,299.94,1,bioacoustic_index,512,2000,8000,11.0711480462804,NA 
P2021-04-02-05-12-CSLIB.wav,44100,16,299.95,1,bioacoustic_index,512,2000,8000,14.4944720800778,NA 
P2021-04-02-12-00-CSLIB.wav,44100,16,299.95,1,bioacoustic_index,512,2000,8000,14.5423901450522,NA 
P2021-04-02-14-06-CSLIB.wav,44100,16,299.94,1,bioacoustic_index,512,2000,8000,12.5475069570573,NA 
P2021-04-07-08-24-CSLIB.wav,44100,16,299.94,1,bioacoustic_index,512,2000,8000,10.1849227684655,NA 
P2021-04-08-09-42-CSLIB.wav,44100,16,299.94,1,bioacoustic_index,512,2000,8000,11.027188166959,NA 
P2021-04-09-05-00-CSLIB.wav,44100,16,299.95,1,bioacoustic_index,512,2000,8000,17.2448398644264,NA 
P2021-04-10-08-24-CSLIB.wav,44100,16,299.95,1,bioacoustic_index,512,2000,8000,14.273226124406,NA 
P2021-04-15-13-00-CSLIB.wav,44100,16,299.95,1,bioacoustic_index,512,2000,8000,9.46199040707758,NA
